,Product name
product_2,"Telefon mobil Xiaomi Redmi Note 12 Pro, Dual SIM, 256GB, 8GB RAM, 4G, Graphite Grey"
product_3,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM, 128GB, 5G, Awesome Graphite"
product_4,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Black"
product_5,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Matte Charcoal"
product_6,"Telefon mobil Xiaomi Redmi Note 12 Pro, 8GB RAM, 256GB, 5G, Midnight Black"
product_7,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Black"
product_8,"Telefon mobil Apple iPhone 11, 128GB, Black"
product_9,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Silver"
product_10,"Telefon mobil Apple iPhone 11, 128GB, White"
product_11,"Telefon mobil Apple iPhone 11, 64GB, Black"
product_12,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Copper"
product_13,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Graphite"
product_14,"Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Black"
product_15,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Black"
product_16,"Telefon mobil Honor 90 Lite, 8GB RAM, 256GB, Midnight Black"
product_17,"Telefon mobil Samsung Galaxy S10, Dual SIM, 128GB, 8GB RAM, 4G, Black"
product_18,"Telefon mobil Huawei P30 Lite, Dual SIM, 128GB, 4G, Midnight Black"
product_19,"Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 128GB, 5G, Phantom Black"
product_20,"Telefon mobil Nokia 105 (2023), Dual SIM, Charcoal"
product_21,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Black"
product_22,"Telefon mobil Nokia 105 (2023), Dual SIM, Cyan"
product_23,"Telefon mobil motorola razr 40, Dual SIM, 8GB RAM, 256GB, 5G, Sage Green"
product_24,"Telefon mobil Motorola Moto g23, Dual SIM, 128GB, 8GB RAM, Steel Blue"
product_25,"Telefon mobil i13 Pro Max, Dual SIM, 64GB, 4GB RAM, 4G, 6.7 inch, Negru"
product_26,"Telefon mobil Apple iPhone 13, 128GB, 5G, Midnight"
product_27,"Telefon mobil Apple iPhone 11, 64GB, White"
product_28,"Telefon mobil Xiaomi Poco X5 Pro, Dual SIM, 256GB, 8GB RAM, 5G, Black"
product_29,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Light Blue"
product_30,"Telefon mobil Motorola Moto g73, Dual SIM, 8GB RAM, 256GB 5G, Midnight Blue"
product_31,"Telefon mobil realme 11 Pro+, Dual SIM, 12GB RAM, 512GB, 5G, Astral Black"
product_32,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Silver"
product_33,"Telefon mobil Xiaomi Redmi 10 (2022), 4GB RAM, 128GB, 4G, Gray"
product_34,"Telefon mobil Motorola Moto g23, Dual SIM, 128GB, 8GB RAM, Matte Charcoal"
product_35,"Telefon mobil Apple iPhone 14, 128GB, 5G, Midnight"
product_36,"Telefon mobil Honor 90, 12GB RAM, 512GB, 5G, Emerald Green"
product_37,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM, 128GB, 5G, Awesome Violet"
product_38,"Telefon mobil Motorola Moto g32, Dual SIM, 128GB, 6GB RAM, 4G, 5000 mAh, Rose Gold"
product_39,"Telefon mobil realme C53, Dual SIM, 6GB RAM, 128GB, 4G, Mighty Black"
product_40,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 5G, Black"
product_41,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Light Green"
product_42,"Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Green"
product_43,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black"
product_44,"Telefon mobil Apple iPhone 14, 128GB, 5G, Purple"
product_45,"Telefon mobil Samsung Galaxy S22, Dual SIM, 256GB, 8GB RAM, 5G, Phantom Black"
product_46,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Lavander Blue"
product_47,"Telefon mobil Samsung Galaxy S23 Ultra, Dual SIM, 512GB, 12GB RAM, 5G, Phantom Black"
product_48,"Telefon mobil S22 Ultra, Dual SIM, 64GB, 4GB RAM, 4G, 6.7'', Negru"
product_49,"Telefon mobil Oppo Reno 6, Dual SIM, 128GB, 8GB RAM, 5G, Stellar Black"
product_50,"Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black"
product_51,"Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey"
product_52,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Light Green"
product_53,"Telefon mobil Motorola Moto g32, Dual SIM, 128GB, 6GB RAM, 4G, Mineral Grey"
product_54,"Telefon mobil S23, Dual SIM, 64GB, 4GB RAM, 4G, 6.8inch, Negru"
product_55,"Telefon mobil Xiaomi Redmi 12C, 4GB RAM, 128GB, 4G, Graphite Gray"
product_56,"Telefon mobil Samsung Galaxy S22, Dual SIM, 128GB, 8GB RAM, 5G, Phantom Black"
product_57,"Telefon mobil MaxCom Comfort MM 426, Dual SIM, Black + Stand incarcare"
product_58,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Silver"
product_59,"Telefon mobil Xiaomi Redmi Note 12 Pro+, 8GB RAM, 256GB, 5G Midnight Black"
product_60,"Telefon mobil Allview L 801, Negru inchis"
product_61,"Telefon mobil Nokia 150 (2023), Dual SIM, Blue"
